host,ip
45.144.52.215:2160,45.144.52.215
52.29.73.211,52.29.73.211
82.156.135.202,82.156.135.202
124.126.162.193:11434,124.126.162.193
47.101.45.145:11434,47.101.45.145
45.144.52.215:8085,45.144.52.215
122.241.130.11:888,122.241.130.11
43.163.221.225,43.163.221.225
111.196.59.221:11434,111.196.59.221
47.90.143.19:11434,47.90.143.19
https://74.208.63.193,74.208.63.193
47.106.234.63,47.106.234.63
172.87.217.58:11434,172.87.217.58
182.92.178.184:11434,182.92.178.184
172.87.217.37:11434,172.87.217.37
https://223.109.239.18:8006,223.109.239.18
45.144.52.215:113,45.144.52.215
https://193.158.105.180,193.158.105.180
123.185.222.232:10000,123.185.222.232
34.93.78.113,34.93.78.113
45.144.52.215:30007,45.144.52.215
45.144.52.215:53556,45.144.52.215
43.239.162.104:11434,43.239.162.104
172.87.217.131:11434,172.87.217.131
49.206.252.31:4001,49.206.252.31
43.239.162.91:11434,43.239.162.91
193.168.146.163,193.168.146.163
14.155.226.159:88,14.155.226.159
45.144.52.215:3306,45.144.52.215
183.144.54.150:11434,183.144.54.150
45.144.52.215:10000,45.144.52.215
77.222.162.222,77.222.162.222
172.87.217.22:11434,172.87.217.22
45.144.52.215:2604,45.144.52.215
114.36.3.213:11434,114.36.3.213
45.144.52.215:5038,45.144.52.215
154.84.61.250:11434,154.84.61.250
https://202.157.81.47,202.157.81.47
172.87.217.13:11434,172.87.217.13
172.87.217.130:11434,172.87.217.130
180.159.25.196:11434,180.159.25.196
61.152.96.242:50000,61.152.96.242
180.117.11.61:11434,180.117.11.61
35.222.118.55,35.222.118.55
123.112.240.122:11434,123.112.240.122
45.144.52.215:9999,45.144.52.215
59.124.112.102:11434,59.124.112.102
https://34.170.172.86,34.170.172.86
https://112.169.29.225,112.169.29.225
https://98.189.145.134,98.189.145.134
https://34.148.83.19,34.148.83.19
72.146.53.17,72.146.53.17
1.117.222.166:1025,1.117.222.166
https://52.8.190.237,52.8.190.237
178.143.150.1:11434,178.143.150.1
125.114.8.139:11434,125.114.8.139
34.46.17.16,34.46.17.16
116.232.125.223:11434,116.232.125.223
138.201.33.76,138.201.33.76
91.134.68.161:11434,91.134.68.161
43.239.162.117:11434,43.239.162.117
45.144.52.215:4063,45.144.52.215
116.90.87.92:8088,116.90.87.92
36.248.181.40:11434,36.248.181.40
113.219.175.198:11434,113.219.175.198
95.216.23.60:8090,95.216.23.60
https://189.180.154.246:8443,189.180.154.246
58.55.149.106:11434,58.55.149.106
20.159.221.239:8081,20.159.221.239
45.41.94.14:11434,45.41.94.14
58.22.105.66:8088,58.22.105.66
45.144.52.215:6443,45.144.52.215
124.220.96.127:7788,124.220.96.127
116.23.70.197:11434,116.23.70.197
122.239.42.129:11434,122.239.42.129
192.162.69.75:8008,192.162.69.75
45.144.52.215:541,45.144.52.215
61.172.167.39:8008,61.172.167.39
45.144.52.215:27017,45.144.52.215
173.75.37.250:11434,173.75.37.250
113.45.13.16:11434,113.45.13.16
103.89.61.53:8090,103.89.61.53
117.21.7.56:11434,117.21.7.56
114.252.132.194:8001,114.252.132.194
192.159.195.26:6000,192.159.195.26
45.144.52.215:9200,45.144.52.215
18.193.240.109,18.193.240.109
45.134.60.20:8081,45.134.60.20
45.144.52.215:135,45.144.52.215
165.73.201.57:8082,165.73.201.57
45.144.52.215:554,45.144.52.215
169.236.176.166:8002,169.236.176.166
115.234.207.197:11434,115.234.207.197
45.144.52.215:445,45.144.52.215
212.82.90.199:8090,212.82.90.199
45.144.52.215:8983,45.144.52.215
35.156.40.243,35.156.40.243
110.40.83.25:11434,110.40.83.25
183.144.33.214:11434,183.144.33.214
123.113.243.95:11434,123.113.243.95
